#Compound                    Mass                        parameter_A              parameter_B
HOM18_OH_O6                  342.000000000000             9.230698832104          6298.971319000000
HOM18_OH_O7                  358.000000000000             8.515560697155          6332.536490000002
HOM18_OH_O8                  374.000000000000             7.727642764127          5936.371689000002
HOM18_OH_O9                  390.000000000000             8.434416507527          6797.185877999998
HOM18_OH_O10                 406.000000000000             7.720420784948          6659.574292000000
HOM18_OH_O11                 422.000000000000             8.427194843108          7520.388576000001
HOM18_OH_O12                 438.000000000000             9.133968844380          8381.202842999997
HOM18_OH_O13                 454.000000000000             8.419972866139          8243.591183000000
HOM18_OH_O14                 470.000000000000             9.126747200747          9104.405543999999
HOM18_OH_NO10                421.000000000000             8.970248616405          7119.504833000000
HOM18_OH_NO11                437.000000000000             8.182330869012          6723.340087999999
HOM18_OH_NO12                453.000000000000             8.889105076418          7584.154412999996
HOM18_OH_NO13                469.000000000000             8.175108840174          7446.542681999997
HOM18_OH_NO14                485.000000000000             8.881882926799          8307.356970999996
HOM18_OH_NO15                501.000000000000             8.167887004019          8169.745320000001
HOM_nucl                     398.000000000000            10.000000000000         10000.000000000000
GENERIC                      437.000000000000            10.000000000000         10000.000000000000
